title,category,summit,date,url
El 22% de las muertes en el Perú están asociadas al consumo de tabaco,Vida,"Causa 12 tipos de cáncer en diferentes órganos, entre ellos al pulmón. En los últimos años se han diagnosticado 2209 casos de cáncer a este órgano",2025-05-31 15:00,/vida/el-22-de-las-muertes-en-el-peru-estan-asociadas-al-consumo-de-tabaco/
Carlos Álvarez reconoce discrepancias en su partido y no descarta renunciar,Política,"El humorista señaló que definirá su situación a fines de junio. ""Solo hay dos caminos: continúo o me retiro"", manifestó en un mensaje difundido a través de sus cuentas en redes sociales",2025-05-31 14:35,/politica/carlos-alvarez-admite-discrepancias-con-partido-y-no-descarta-renuncia/
"Doña Peta detiene agresión en su fiesta: “A la mujer no se le toca”, dijo a familiar violento",Espectáculos,"La madre de Paolo Guerrero intervino con firmeza durante un altercado entre un familiar y su pareja, defendiendo a la joven y exigiendo respeto.",2025-05-31 14:30,/espectaculos/dona-peta-detiene-agresion-en-su-fiesta-la-mujer-no-se-le-toca-dijo-familiar-violento/
"Acción Popular, Podemos, APP y Perú Libre toman mesa de diálogo de Pataz",Política,Mineros informales y ronderos se irán a un paro indefinido si el Gobierno persiste en impedir sus operaciones.,2025-05-31 14:21,/politica/accion-popular-podemos-app-y-peru-libre-toman-mesa-de-pataz/
¡INTRANSITABLE! Miraflores es un infierno por cierre de Bajada Armendáriz,Lima,Avenidas miraflorinas son un caos por congestión vehicular por segundo fin de semana consecutivo. Vecinos se quejan por ausencia de policías de tránsito.,2025-05-31 14:17,/lima/cierre-total-de-la-bajada-armendariz-este-fin-de-semana-miraflores-barranco-lima/
"Zanabria da conferencia de prensa para aclarar situación de Erick Luis Moreno Hernández, alias 'El Monstruo'",Policiales,El comandante general de PNP dijo que el delincuente sigue prófugo y que el operativo en Acre no logró detenerlo.,2025-05-31 14:02,/policiales/policia-nacional-desmiente-captura-de-el-monstruo-en-brasil/
La Sucamec y la PNP destruyeron 3.994 kilos de explosivos vinculados a la minería ilegal,Perú,"Los materiales, incautados en operativos contra la minería ilegal, fueron eliminados bajo estrictas medidas de seguridad con apoyo del Ministerio Público y la PNP.",2025-05-31 13:29,/peru/la-sucamec-y-la-pnp-destruyeron-3994-kilos-de-explosivos-vinculados-la-mineria-ilegal/
Consejos clave para usar sin problemas la nueva terminal del aeropuerto Jorge Chávez,Lima,Seis recomendaciones esenciales para facilitar el tránsito internacional desde el renovado terminal aéreo limeño.,2025-05-31 13:17,/lima/consejos-clave-para-usar-sin-problemas-la-nueva-terminal-del-aeropuerto-jorge-chavez/
India reporta repunte de casos y muertes por COVID-19: más de 3.000 activos y alerta hospitalaria,Mundo,Las autoridades temen una nueva ola y piden reforzar la capacidad sanitaria,2025-05-31 12:22,/mundo/india-reporta-repunte-de-casos-y-muertes-por-covid-19-mas-de-3000-activos-y-alerta-hospitalaria/
 “Asegúrate de que la puerta esté cerrada”: Trump da consejo a Macron tras manotazo de su esposa,Mundo,El mandatario restó importancia al incidente y dijo que la pareja presidencial francesa está “bien”,2025-05-31 12:02,/mundo/asegurate-de-que-la-puerta-este-cerrada-trump-da-consejo-macron-tras-manotazo-de-su-esposa/
LAP insta al Estado a priorizar aeropuertos regionales tras inauguración del nuevo Jorge Chávez,Economía,El gerente general de Lima Airport Partners advierte que la conectividad aérea debe extenderse más allá de Lima.,2025-05-31 11:36,/economia/lap-insta-al-estado-priorizar-aeropuertos-regionales-tras-inauguracion-del-nuevo-jorge-chavez/
¿No juega el Mundial de Clubes? Aixa Vigil dejaría Alianza Lima tras el bicampeonato,Deportes,La jugadora del cuadro blanquiazul confirmó que tiene varias propuestas de otros clubes y todavía evalúa cuál será su futuro.,2025-05-31 11:32,/deportes/aixa-vigil-dejaria-alianza-lima-tras-el-bicampeonato-voley-peruano/
"Opal Suchata, representante de Tailandia, es la nueva Miss Mundo",Espectáculos,"La tailandesa se impuso en la final ante las representantes de Etiopía, Polonia y Martinica. La corona vuelve al continente asiático.",2025-05-31 11:17,/espectaculos/miss-mundo-2025-donde-y-como-ver-en-vivo-la-gala-final-staisy-huamansisa/
Conoce a Opal Suchata: la tailandesa que se impuso en el Miss Mundo,Celebridades,"Nacida en Phuket en septiembre de 2003, Suchata —conocida como ‘Opal’— es estudiante de Ciencias Políticas en la Universidad de Thammasat.",2025-05-31 11:14,/celebridades/conoce-opal-suchata-la-tailandesa-que-se-impuso-en-el-miss-mundo/
Papa León XIV: “Juntos reconstruiremos la credibilidad de una Iglesia herida”,Mundo,"Recordó, durante la misa de ordenación de 11 nuevos sacerdotes, que ""no importa ser perfectos, pero es necesario ser creíbles"".",2025-05-31 11:02,/mundo/papa-leon-xiv-juntos-reconstruiremos-la-credibilidad-de-una-iglesia-herida/
¿Qué es el Primer Comando Capital (PCC) de Brasil y cuál es su vínculo con 'El Monstruo'?,Policiales,Nació en las cárceles de São Paulo y se ha convertido en una red criminal transnacional con influencia en varios países.,2025-05-31 10:47,/policiales/que-es-el-primer-comando-capital-pcc-de-brasil-y-cual-es-su-vinculo-con-el-monstruo/
 Mamma Lola celebra 25 años con nueva carta que honra sus raíces italianas,Gastronomía,La emblemática trattoria limeña renueva su propuesta sin perder su esencia familiar,2025-05-31 10:27,/gastronomia/mamma-lola-celebra-25-anos-con-nueva-carta-que-honra-sus-raices-italianas/
Se acabó el sueño de Staisy Huamansisa: la ingeniera peruana que buscaba la corona de Miss Mundo 2025,Espectáculos,"El Boulevard de Yarinacocha acogerá la gala final de ambos certámenes el 14 de junio, con candidatas de 13 países y actividades turísticas en la región.",2025-05-31 10:15,/espectaculos/staisy-huamansisa-la-ingeniera-peruana-que-busca-la-corona-de-miss-mundo-2025/
Ucayali será sede del Miss Teen Model y Miss Top Model Internacional 2025,Espectáculos,"El Boulevard de Yarinacocha acogerá la gala final de ambos certámenes el 14 de junio, con candidatas de 13 países y actividades turísticas en la región.",2025-05-31 10:09,/espectaculos/ucayali-sera-sede-del-miss-teen-model-y-miss-top-model-internacional-2025/
"Separan a maestros por condenas o procesos por graves delitos, incluyendo FEMINICIDIO",Perú,"Entre las 972 personas retiradas, 831 son docentes y 141 personal administrativo. ",2025-05-31 09:55,/peru/separan-maestros-por-condenas-o-procesos-por-graves-delitos-incluyendo-feminicidio/
